"filename", "language", "pip requirements", "TOML", "Python", "Docker", "Markdown", "Shell Script", "YAML", "Properties", "Ini", "PowerShell", "HTML", "comment", "blank", "total"
"/home/uwuntu/kesa/Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/uwuntu/kesa/README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 9, 14
"/home/uwuntu/kesa/kesa-cli/cfg.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/home/uwuntu/kesa/kesa-cli/kesa.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 55
"/home/uwuntu/kesa/kesa-cli/kesa.sh", "Shell Script", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"/home/uwuntu/kesa/kesa-cli/main.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 101
"/home/uwuntu/kesa/kesa-cli/pyenv/bin/Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 106, 34, 248
"/home/uwuntu/kesa/kesa-cli/pyenv/bin/activate.csh", "Shell Script", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 10, 27
"/home/uwuntu/kesa/kesa-cli/pyenv/bin/activate.fish", "Shell Script", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 13, 14, 67
"/home/uwuntu/kesa/kesa-cli/pyenv/pyvenv.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/uwuntu/kesa/kesa-cli/requirements.txt", "pip requirements", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/uwuntu/kesa/kesa-cli/utils/config.py", "Python", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/uwuntu/kesa/kesa-cli/utils/file_utils.py", "Python", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 204
"/home/uwuntu/kesa/kesa-data-api/configs/auto-labelcfg.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 6, 17
"/home/uwuntu/kesa/kesa-data-api/configs/dbcfg.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/uwuntu/kesa/kesa-data-api/convert/augment.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 81
"/home/uwuntu/kesa/kesa-data-api/convert/labelme2yolo.py", "Python", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 110
"/home/uwuntu/kesa/kesa-data-api/deploy.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 138
"/home/uwuntu/kesa/kesa-data-api/export.py", "Python", 0, 0, 697, 0, 0, 0, 0, 0, 0, 0, 0, 65, 81, 843
"/home/uwuntu/kesa/kesa-data-api/kesa_print.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 56
"/home/uwuntu/kesa/kesa-data-api/kesa_utils.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 85
"/home/uwuntu/kesa/kesa-data-api/label_img.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 89
"/home/uwuntu/kesa/kesa-data-api/main.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 138
"/home/uwuntu/kesa/kesa-data-api/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/uwuntu/kesa/kesa-data-api/models/common.py", "Python", 0, 0, 1022, 0, 0, 0, 0, 0, 0, 0, 0, 72, 135, 1229
"/home/uwuntu/kesa/kesa-data-api/models/experimental.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 125
"/home/uwuntu/kesa/kesa-data-api/models/hub/yolov3-spp.yaml", "YAML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 7, 52
"/home/uwuntu/kesa/kesa-data-api/models/hub/yolov3-tiny.yaml", "YAML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 6, 42
"/home/uwuntu/kesa/kesa-data-api/models/hub/yolov3.yaml", "YAML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 7, 52
"/home/uwuntu/kesa/kesa-data-api/models/tf.py", "Python", 0, 0, 573, 0, 0, 0, 0, 0, 0, 0, 0, 63, 91, 727
"/home/uwuntu/kesa/kesa-data-api/models/yolo.py", "Python", 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 30, 70, 639
"/home/uwuntu/kesa/kesa-data-api/models/yolov7.yaml", "YAML", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 5, 18, 140
"/home/uwuntu/kesa/kesa-data-api/pyproject.toml", "TOML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/uwuntu/kesa/kesa-data-api/templates/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"/home/uwuntu/kesa/kesa-data-api/test.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/uwuntu/kesa/kesa-data-api/utils/__init__.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 39
"/home/uwuntu/kesa/kesa-data-api/utils/activations.py", "Python", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 103
"/home/uwuntu/kesa/kesa-data-api/utils/add_nms.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 164
"/home/uwuntu/kesa/kesa-data-api/utils/augmentations.py", "Python", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 44, 66, 441
"/home/uwuntu/kesa/kesa-data-api/utils/autoanchor.py", "Python", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 39, 24, 202
"/home/uwuntu/kesa/kesa-data-api/utils/autobatch.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 72
"/home/uwuntu/kesa/kesa-data-api/utils/aws/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/uwuntu/kesa/kesa-data-api/utils/aws/mime.sh", "Shell Script", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 6, 27
"/home/uwuntu/kesa/kesa-data-api/utils/aws/resume.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 43
"/home/uwuntu/kesa/kesa-data-api/utils/aws/userdata.sh", "Shell Script", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 2, 28
"/home/uwuntu/kesa/kesa-data-api/utils/benchmarks.py", "Python", 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 31, 19, 230
"/home/uwuntu/kesa/kesa-data-api/utils/callbacks.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 77
"/home/uwuntu/kesa/kesa-data-api/utils/convert.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/uwuntu/kesa/kesa-data-api/utils/dataloaders.py", "Python", 0, 0, 1212, 0, 0, 0, 0, 0, 0, 0, 0, 134, 154, 1500
"/home/uwuntu/kesa/kesa-data-api/utils/datasets.py", "Python", 0, 0, 1271, 0, 0, 0, 0, 0, 0, 0, 0, 172, 233, 1676
"/home/uwuntu/kesa/kesa-data-api/utils/docker/Dockerfile", "Docker", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 34, 21, 69
"/home/uwuntu/kesa/kesa-data-api/utils/downloads.py", "Python", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 44, 27, 216
"/home/uwuntu/kesa/kesa-data-api/utils/fileutils.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"/home/uwuntu/kesa/kesa-data-api/utils/flask_rest_api/README.md", "Markdown", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"/home/uwuntu/kesa/kesa-data-api/utils/flask_rest_api/example_request.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 20
"/home/uwuntu/kesa/kesa-data-api/utils/flask_rest_api/restapi.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 58
"/home/uwuntu/kesa/kesa-data-api/utils/general.py", "Python", 0, 0, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 120, 202, 1332
"/home/uwuntu/kesa/kesa-data-api/utils/google_app_engine/Dockerfile", "Docker", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 7, 26
"/home/uwuntu/kesa/kesa-data-api/utils/google_app_engine/app.yaml", "YAML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/uwuntu/kesa/kesa-data-api/utils/google_utils.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 63, 19, 130
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/__init__.py", "Python", 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 38, 44, 393
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/clearml/README.md", "Markdown", 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 72, 223
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/clearml/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/clearml/clearml_utils.py", "Python", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 50, 19, 188
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/clearml/hpo.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 25, 6, 105
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/README.md", "Markdown", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 52, 163
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/log_dataset.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/sweep.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 46
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/sweep.yaml", "YAML", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 16, 4, 144
"/home/uwuntu/kesa/kesa-data-api/utils/loggers/wandb/wandb_utils.py", "Python", 0, 0, 541, 0, 0, 0, 0, 0, 0, 0, 0, 148, 54, 743
"/home/uwuntu/kesa/kesa-data-api/utils/loss.py", "Python", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 32, 42, 270
"/home/uwuntu/kesa/kesa-data-api/utils/metrics.py", "Python", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 79, 67, 416
"/home/uwuntu/kesa/kesa-data-api/utils/plots.py", "Python", 0, 0, 551, 0, 0, 0, 0, 0, 0, 0, 0, 49, 68, 668
"/home/uwuntu/kesa/kesa-data-api/utils/torch_utils.py", "Python", 0, 0, 468, 0, 0, 0, 0, 0, 0, 0, 0, 47, 73, 588
"/home/uwuntu/kesa/kesa-data-api/utils/wandb_logging/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/uwuntu/kesa/kesa-data-api/utils/wandb_logging/log_dataset.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/home/uwuntu/kesa/kesa-data-api/utils/wandb_logging/wandb_utils.py", "Python", 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31, 452
"/home/uwuntu/kesa/poetry.lock", "TOML", 0, 1354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 104, 1459
"/home/uwuntu/kesa/pyproject.toml", "TOML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/home/uwuntu/kesa/requirements.txt", "pip requirements", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 23
"Total", "-", 37, 1393, 11466, 28, 328, 89, 363, 3, 19, 108, 24, 1839, 2257, 17954